ROADNAME,LOCATION,FEATURE ID,ASSET TYPE,Column Material                                  ,Feature Type,Lantern Manufacturer                             ,LAMP TYPE,LAMP WATTAGE,Dimming Classification                           ,CONDITION,ELIGIBLE Supply,TOWN,WARD,Mounting Height                                  ,POSTCODE
BROOKHURST LANE,UNASSIGNED,COL/006/015/0004,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Little Hulton Ward,5m,M28 1DH
KING EDWARD STREET,UNASSIGNED,COL/069/054/0002,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Eccles,Barton Ward,5m,M28 0YH
KING STREET,UNASSIGNED,SGN/070/014/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Barton Ward,,M38 0BU
KING STREET,UNASSIGNED,COL/040/033/0002,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 1 (Good),Yes,Salford 3,Ordsall Ward,5m,M38 0BX
KING STREET,UNASSIGNED,SGN/040/033/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 3,Ordsall Ward,,M38 0BU
GRAYMAR ROAD,UNASSIGNED,COL/008/060/0003,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M28 0JQ
HOWARD STREET,ROAD CORNER STEEPLE DRIVE,COL/051/015/0003,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T+),100 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,8m,M38 9TZ
ECCLESTON AVENUE,UNASSIGNED,COL/015/046/0001,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 2,Yes,Swinton,Worsley Ward,6m,M38 0BQ
GREENFIELD AVENUE,UNASSIGNED,COL/074/055/0003,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Eccles,Barton Ward,6m,M38 9EG
ECCLES OLD ROAD,ROAD FACING 165/167,COL/300/014/0068,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),150 watts,,Level 1 (Good),Yes,Salford 6,Weaste and Seedley Ward,10m,M28 1JP
GILDA BROOK ROAD,AT ROUNDABOUT,COL/300/015/0016,Lighting Column 12m,Steel,SL - Column,Urbis,High P Sodium (T),250 watts,,Level 1 (Good),Yes,Eccles,Weaste and Seedley Ward,12m,M44 6AJ
DRYWOOD AVENUE,UNASSIGNED,COL/014/009/0010,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Worsley,Worsley Ward,5m,M28 1HX
EAST LANCASHIRE ROAD,UNASSIGNED,COL/201/002/0149,Lighting Column 10m,Steel,SL - Column,Unknown,Low P Sodium,180 watts,,Level 3,Yes,Worsley,Swinton North Ward,10m,M28 0YH
HAYDOCK DRIVE,UNASSIGNED,COL/001/014/0003,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 2,Yes,Worsley,Boothstown and Ellenbrook Ward,6m,M38 9TS
BRIDGEWATER ROAD,UNASSIGNED,COL/003/024/0007,Lighting Column 8m,Steel,SL - Column,Thorn,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,8m,M44 5BL
DUDLEY STREET,CORNER OF GREAT DCHEETHAM STREET EAST,COL/033/018/0001,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,Level 3,Yes,Salford 7,Broughton Ward,6m,M28 1SL
CARTLEACH LANE,UNASSIGNED,COL/004/030/0001,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Little Hulton Ward,6m,M28 1JH
KING STREET,ROAD SIDE OF NORWEB,COL/070/014/0001,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,41 watts,Dimmed to 76%,Level 1 (Good),Yes,Eccles,Barton Ward,6m,M38 0BU
KING STREET,UNASSIGNED,SGN/061/034/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 6,Claremont Ward,,M38 0BX
ECCLES OLD ROAD,ROAD AT OR OUTSIDE 132,COL/300/014/0044,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),250 watts,,Level 1 (Good),Yes,Salford 6,Weaste and Seedley Ward,10m,M44 5EG
CONISTON AVENUE,UNASSIGNED,COL/008/005/0022,LED Lighting Column 8m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,72 Watts,Dimmed to 75%,Level 1 (Good),Yes,Worsley,Walkden North Ward,8m,M44 5AY
BRAEMAR LANE,UNASSIGNED,COL/001/015/0001,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,6m,M38 0LR
KING EDWARD STREET,ROAD OPPOSITE 15,COL/047/007/0002,Lighting Column 5m,Cast Iron,SL - Column,Metcraft,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M28 0YH
ARGOSY DRIVE,UNASSIGNED,COL/074/061/0012,Lighting Column 5m,Steel,SL - Column,Philips,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Eccles,Barton Ward,5m,M28 0LD
ASHTON FIELD DRIVE,UNASSIGNED,COL/009/002/0007,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,5m,M38 9RE
ASHTON FIELD DRIVE,FOOTPATH BACK OF FOOTPATH,COL/009/002/0008,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,5m,M38 9RE
ALBION WAY,UNASSIGNED,SGN/200/030/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Langworthy Ward,,M44 6ZS
ASHBOURNE ROAD,UNASSIGNED,COL/062/018/0001,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Salford 6,Claremont Ward,5m,M38 9RZ
BLACKLEACH DRIVE,ROAD OUTSIDE 44,COL/010/070/0007,Lighting Column 6m,Steel,SL - Column,WRTL,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M44 5BL
BARLOW LANE,UNASSIGNED,COL/072/022/0001,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 1 (Good),Yes,Eccles,Winton Ward,5m,M44 5BF
BROOKHURST LANE,UNASSIGNED,COL/006/015/0003,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Worsley,Little Hulton Ward,5m,M28 1DF
CARTLEACH GROVE,UNASSIGNED,COL/004/031/0002,Lighting Column 6m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Worsley,Little Hulton Ward,6m,M28 1JH
FOLLY LANE,UNASSIGNED,COL/322/005/0020,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Swinton,Swinton South Ward,10m,M44 6ZN
GREENFIELD AVENUE,UNASSIGNED,COL/074/055/0002,Lighting Column 5m,Concrete,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 2,Yes,Eccles,Barton Ward,5m,M38 9RB
HOWARD STREET,UNASSIGNED,SGN/051/015/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Ordsall Ward,,M38 9SA
KING STREET,UNASSIGNED,COL/061/034/0001,Lighting Column 5m,Cast Iron,SL - Column,Thorn,Low P Sodium,35 watts,,Level 3,Yes,Salford 6,Claremont Ward,5m,M38 0BU
GILDA BROOK ROAD,UNASSIGNED,SGN/300/015/0015-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Eccles Ward,,M44 6AJ
BLACKLEACH DRIVE,ROAD OUTSIDE 24/26,COL/010/070/0006,Lighting Column 6m,Steel,SL - Column,WRTL,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M44 5BL
DUDLEY ROAD,UNASSIGNED,COL/081/050/0012,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Irlam,Cadishead Ward,8m,M28 1SL
GRAYMAR ROAD,UNASSIGNED,COL/008/060/0002,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M38 0LR
BARFF ROAD,ROAD SIDE OF 15 NEW CROSS ST,COL/060/052/0008,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Salford 5,Weaste and Seedley Ward,6m,M44 5BF
CONISTON AVENUE,UNASSIGNED,COL/008/005/0023,LED Lighting Column 8m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,72 Watts,Dimmed to 75%,Level 1 (Good),Yes,Worsley,Walkden North Ward,8m,M44 5EG
HAYDOCK DRIVE,UNASSIGNED,COL/001/014/0004,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 2,Yes,Worsley,Boothstown and Ellenbrook Ward,6m,M38 9TS
KING EDWARD STREET,UNASSIGNED,COL/069/054/0001B,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Eccles,Barton Ward,5m,M28 0YH
ARGOSY DRIVE,UNASSIGNED,COL/074/061/0002,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 1 (Good),Yes,Eccles,Barton Ward,6m,M28 0JN
ASHTON FIELD DRIVE,,COL/009/002/0006,Lighting Column 6m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,,Yes,Worsley,Walkden North Ward,6m,M38 9RE
KING EDWARD ST UNNAMED H/WY S/O39/41TATT,SIDE OF 130 TATTON STREET,COL/047/077/0002,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M38 0FD
KING EDWARD STREET,ROAD OPPOSITE 3,COL/047/007/0001,Lighting Column 5m,Cast Iron,SL - Column,Metcraft,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M38 0FD
ALBION WAY,UNASSIGNED  CENTRAL SUBWAY,SUBW/500/009/0002,Subway Lighting 3m,Unassigned,SL - Subway,Design Plan,Low P Mercury (FT) Single,49 watts,,Level 4,Yes,,,3m,M44 6BH
ARGOSY DRIVE,UNASSIGNED,SGN/074/061/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Barton Ward,,M28 0JG
ASHBOURNE GROVE,ROAD BETWEEN 43/45,COL/034/007/0007,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M38 9UF
CHURCH STREET,UNASSIGNED,COL/016/046/0001,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Swinton,Swinton North Ward,5m,M28 1BP
BRIDGEWATER ROAD,UNASSIGNED,COL/003/024/0005,Lighting Column 8m,Steel,SL - Column,Thorn,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,8m,M44 5BL
DRYWOOD AVENUE,UNASSIGNED,COL/014/009/0011,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Worsley,Worsley Ward,5m,M28 1HX
BRIDGEWATER ROAD,UNASSIGNED,SGN/302/004/0006-2,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Worsley,Walkden South Ward,,M44 5AL
FOLLY LANE,UNASSIGNED,COL/322/005/0002,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Swinton,Swinton South Ward,10m,M28 1NW
ARGOSY DRIVE,UNASSIGNED,COL/074/061/0003,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 1 (Good),Yes,Eccles,Barton Ward,6m,M28 0JN
FOLLY LANE,UNASSIGNED,SGN/322/005/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Swinton,Swinton South Ward,,M28 1NW
FOLLY LANE,UNASSIGNED,SGN/322/005/0003-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Swinton,Swinton South Ward,,M28 1JQ
HILLFIELD,UNASSIGNED,COL/057/024/0002,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 5,Weaste and Seedley Ward,5m,M38 9SA
FOLLY LANE,UNASSIGNED,COL/322/005/0001A,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Swinton,Swinton South Ward,10m,M28 1DH
CHURCH STREET,ROAD AT OR OUTSIDE PEEL STREET,BOL/659/003/0001,Illuminated Bollard,None,SL - Bollard,Forest City,Low P Mercury (C) Single (PL),11 watts,,,Yes,,,,M28 1PP
KING EDWARD STREET,UNASSIGNED,COL/069/054/0001A,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Eccles,Barton Ward,5m,M28 0YH
ARGOSY DRIVE,UNASSIGNED,SGN/074/061/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Barton Ward,,M28 0HE
GRAVEL LANE,UNASSIGNED,SGN/317/001/0009-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 3,Ordsall Ward,,M28 0YF
GREENFIELD AVENUE,UNASSIGNED,COL/074/055/0001,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Eccles,Barton Ward,6m,M38 9EG
ECCLES OLD ROAD,ROAD AT OR OUTSIDE 130,COL/300/014/0043,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),250 watts,,Level 1 (Good),Yes,Salford 6,Claremont Ward,10m,M44 5EG
KING EDWARD STREET,UNASSIGNED,COL/069/054/0001,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Eccles,Barton Ward,5m,M28 0YH
KING STREET,UNASSIGNED,COL/040/033/0001,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 1 (Good),Yes,Salford 3,Ordsall Ward,5m,M38 0BX
ARGOSY DRIVE,UNASSIGNED,COL/074/061/0004,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 1 (Good),Yes,Eccles,Barton Ward,6m,M28 0JN
ASH DRIVE,UNASSIGNED,SGN/018/023/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Worsley,Swinton North Ward,,M44 6AT
DUCHY AVENUE,UNASSIGNED,COL/002/011/0001,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden South Ward,5m,M28 1HX
CARTLEACH GROVE,UNASSIGNED,COL/004/031/0001,Lighting Column 6m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Worsley,Little Hulton Ward,6m,M28 1JH
FOLLY LANE,UNASSIGNED,COL/322/005/0003,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Swinton,Swinton South Ward,10m,M28 1NW
ASHTON FIELD DRIVE,UNASSIGNED,COL/009/002/0009,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,5m,M38 9GX
FOLLY LANE,UNASSIGNED,SGN/322/005/0004-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Swinton,Swinton South Ward,,M28 1JW
KIMBERLEY STREET,BETWEEN 12  14,COL/033/052/0002,LED Lighting Column 5m,Concrete,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 2,Yes,Salford 7,Broughton Ward,5m,M38 0FD
FOLLY LANE,UNASSIGNED,COL/322/005/0004,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Swinton,Swinton South Ward,10m,M28 1NW
BLACKLEACH DRIVE,ROAD OUTSIDE 24/26,COL/010/070/0005,Lighting Column 6m,Steel,SL - Column,WRTL,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M44 5BL
ALBION WAY,UNASSIGNED  UNDERPASS,UNDP/500/020/0002,Under-Pass Lighting 3m,Steel,SL - Under-Pass,Bergo,Low P Mercury (FT) Single,85 watts,,Level 4,Yes,,,3m,M44 6BH
BROOKHURST LANE,UNASSIGNED,COL/006/015/0002,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Little Hulton Ward,5m,M28 1DF
ASHTON FIELD DRIVE,UNASSIGNED,SGN/009/002/0005-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Worsley,Walkden North Ward,,M38 9RB
KING EDWARD STREET,ROAD M/WAY REAR OUTER LANE 85,COL/047/007/0008,Lighting Column 5m,Cast Iron,SL - Column,Metcraft,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M38 0BT
KING EDWARD STREET,ROAD OPPOSITE 97,COL/047/007/0009,Lighting Column 5m,Cast Iron,SL - Column,Metcraft,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M38 0BX
BARFF ROAD,ROAD AT OR OUTSIDE 39,COL/060/052/0007,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Salford 5,Weaste and Seedley Ward,6m,M44 5BF
ARCHIE STREET,UNASSIGNED,SGN/049/029/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Ordsall Ward,,M28 0JP
GILDA BROOK ROAD,AT ROUNDABOUT,COL/300/015/0015,Lighting Column 12m,Steel,SL - Column,Urbis,High P Sodium (T),250 watts,,Level 1 (Good),Yes,Eccles,Weaste and Seedley Ward,12m,M44 6ZS
HOWARD STREET,UNASSIGNED,COL/051/015/0002,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T+),100 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,8m,M38 9SB
ASH DRIVE,UNASSIGNED,COL/018/023/0003,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Swinton North Ward,5m,M44 6AS
BLACKLEACH DRIVE,ROAD OPPOSITE SIDE OF 17,COL/010/070/0004,Lighting Column 6m,Steel,SL - Column,WRTL,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M44 5BL
DRYWOOD AVENUE,OUTSIDE 37,COL/014/009/0013,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Worsley Ward,5m,M28 1HX
DUDLEY ROAD,UNASSIGNED,COL/081/050/0011A,Lighting Column 6m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Irlam,Cadishead Ward,6m,M28 1SL
ARGOSY DRIVE,UNASSIGNED,COL/074/061/0005,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 1 (Good),Yes,Eccles,Barton Ward,6m,M28 0JN
BRIDGEWATER ROAD,UNASSIGNED,SGN/302/004/0004-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Worsley,Walkden South Ward,,M44 5AL
CONISTON AVENUE,UNASSIGNED,COL/008/005/0024,LED Lighting Column 8m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,72 Watts,Dimmed to 75%,Level 1 (Good),Yes,Worsley,Walkden North Ward,8m,M44 5AY
KILRUSH AVENUE,UNASSIGNED,COL/070/035/0004,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Eccles,Barton Ward,6m,M38 0DA
HAYDOCK DRIVE,UNASSIGNED,COL/001/014/0005,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 2,Yes,Worsley,Boothstown and Ellenbrook Ward,6m,M38 9TS
KILRUSH AVENUE,UNASSIGNED,COL/070/035/0003,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Eccles,Barton Ward,6m,M38 0BS
KING EDWARD ST UNNAMED H/WY S/O39/41TATT,SIDE OF 37/39 KING EDWARD STREET,COL/047/077/0001,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M28 0YH
BRIDGEWATER ROAD,UNASSIGNED,COL/003/024/0006,Lighting Column 8m,Steel,SL - Column,Thorn,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,8m,M44 5AL
GRAYMAR ROAD,UNASSIGNED,COL/008/060/0001,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M28 0JG
HILLFIELD DRIVE,UNASSIGNED,COL/001/026/0001,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 2,Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M38 9TY
FOLLY LANE,UNASSIGNED,COL/322/005/0005,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Swinton,Swinton South Ward,10m,M28 1JW
KILRUSH AVENUE,UNASSIGNED,COL/070/035/0005,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Eccles,Barton Ward,6m,M38 0FD
ALFRED STREET,UNASSIGNED,COL/010/016/0003,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 4,Yes,Worsley,Walkden North Ward,5m,M44 6ZP
DRYWOOD AVENUE,UNASSIGNED,COL/014/009/0012,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Worsley Ward,5m,M28 1HX
KILRUSH AVENUE,UNASSIGNED,COL/070/035/0002,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Eccles,Barton Ward,6m,M38 0BS
CHURCH STREET,ROAD NEAR ECCLES LIBRARY,BOL/659/002/0001,Illuminated Bollard,None,SL - Bollard,Forest City,Low P Mercury (C) Single (PL),11 watts,,,Yes,,,,M28 1BT
FLORENCE STREET,UNASSIGNED,COL/072/016/0005,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Eccles,Winton Ward,6m,M28 1NW
GREENCROFT WAY,S/O 17-29 EVERGREEN MEWS,COL/034/058/0005,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,,Yes,Salford 7,Broughton Ward,6m,M38 9UT
ASHTON FIELD DRIVE,,COL/009/002/0005,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T+),150 watts,,,Yes,Worsley,Walkden North Ward,10m,M38 9RB
KILRUSH AVENUE,UNASSIGNED,COL/070/035/0001,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Eccles,Barton Ward,6m,M38 0BS
GRAVEL LANE,UNASSIGNED,SGN/317/001/0008-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 3,Ordsall Ward,,M38 0LE
KILDARE ROAD,UNASSIGNED,COL/015/062/0005,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Swinton,Worsley Ward,5m,M38 0BS
ASHBOURNE GROVE,ROAD BETWEEN 27/29,COL/034/007/0005,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M38 9UH
BRIDGEWATER ROAD,UNASSIGNED,COL/003/024/0004,Lighting Column 8m,Steel,SL - Column,Thorn,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,8m,M44 5BL
KING EDWARD STREET,ROAD OPPOSITE 73,COL/047/007/0007,Lighting Column 5m,Cast Iron,SL - Column,Metcraft,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M38 0BS
ASHTON FIELD DRIVE,UNASSIGNED,COL/009/002/0010,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,5m,M38 9RL
