ROADNAME,LOCATION,FEATURE ID,ASSET TYPE,Column Material                                  ,Feature Type,Lantern Manufacturer                             ,LAMP TYPE,LAMP WATTAGE,Dimming Classification                           ,CONDITION,ELIGIBLE Supply,TOWN,WARD,Mounting Height                                  ,POSTCODE
CLIFTON VIEW,UNASSIGNED,COL/020/013/0003,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 4,Yes,Swinton,Pendlebury Ward,6m,M30 9JJ
BROADWAY,UNASSIGNED,COL/200/031/0018,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,10m,M30 9JZ
HARRIER CLOSE,ROAD AT OR OUTSIDE 20 SECT.38 SEE DWG NO.,COL/002/092/0003,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M30 9EZ
CHOLMONDELEY ROAD,UNASSIGNED,COL/062/020/0001,Lighting Column 5m,Concrete,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 2,No,Salford 6,Weaste and Seedley Ward,5m,M27 5YQ
CUTNOOK LANE,UNASSIGNED,COL/076/027/0015C,Lighting Column 5m,Concrete,SL - Column,Thorn,Low P Sodium,35 watts,,Level 2,Yes,Irlam,Irlam Ward,5m,M27 0JD
BARTON ROAD,UNASSIGNED,COL/324/003/0009,Lighting Column 10m,Steel,SL - Column,Thorn,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Eccles,Barton Ward,10m,M30 9JF
BOURNE AVENUE,ROAD AT OR OUTSIDE 2/4 BOURNE AVENUE,COL/025/014/0002,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,26 watts,,Level 1 (Good),Yes,Swinton,Swinton South Ward,6m,M30 9JL
CUTNOOK LANE,UNASSIGNED,COL/076/040/0015,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Irlam,Irlam Ward,6m,M27 0JD
HENRY STREET,UNASSIGNED,COL/072/004/0002,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 2,Yes,Eccles,Barton Ward,6m,M27 9TX
GREEN LANE,UNASSIGNED,COL/069/006/0008,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 2,Yes,Eccles,Eccles Ward,5m,M27 6WE
AUCKLAND DRIVE,UNASSIGNED,COL/028/023/0015,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Salford 6,Irwell Riverside Ward,8m,M27 6LB
BROADWAY,UNASSIGNED,COL/200/031/0059,Lighting Column 10m,Steel,SL - Column,Philips,Low P Sodium,135 watts,,Level 2,Yes,Salford 5,Weaste and Seedley Ward,10m,M30 0HJ
BROOKLANDS ROAD,UNASSIGNED,COL/015/054/0003,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 3,Yes,Swinton,Worsley Ward,6m,M30 0UZ
DALES BROW,UNASSIGNED,SGN/067/001/0005-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Swinton,Worsley Ward,,M27 5QZ
FREDERICK ROAD,UNASSIGNED,SGN/315/001/0008-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 6,Irwell Riverside Ward,,M30 0WA
BULRUSH CLOSE,ROAD OUTSIDE 55/57,COL/010/073/0006,Lighting Column 6m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M27 6AY
CUMBERLAND STREET,jct.Wheaters Street,COL/042/046/0005,Lighting Column 6m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M30 0FU
CUTNOOK LANE,UNASSIGNED,COL/076/027/0014C,Lighting Column 5m,Concrete,SL - Column,Thorn,Low P Sodium,35 watts,,Level 2,Yes,Irlam,Irlam Ward,5m,M27 0JD
HARROP STREET,UNASSIGNED,COL/004/058/0003,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,26 watts,,Level 1 (Good),Yes,Worsley,Little Hulton Ward,6m,M30 9HN
BEVERLEY ROAD,UNASSIGNED,COL/026/011/0003,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 2,Yes,Swinton,Claremont Ward,6m,M30 9DR
CRESCENT,UNASSIGNED,COL/041/083/0004,Lighting Column 4m,Steel,SL - Column,Urbis,High P Sodium (T),50 watts,,Level 4,Yes,Salford 3,Irwell Riverside Ward,4m (inc 4.2m cols),M27 5DL
CUTNOOK LANE,UNASSIGNED,COL/076/040/0014,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Irlam,Irlam Ward,6m,M27 0JD
ELSINORE AVENUE,UNASSIGNED,COL/078/001/0003,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 2,Yes,Irlam,Cadishead Ward,6m,M27 0DN
BOOTHSTOWN DRIVE,ROAD AT OR OUTSIDE 1 SEE DRAWING NO. WO/93,COL/001/091/0001,Lighting Column 5m,Steel,SL - Column,Holophane,High P Sodium (T),70 watts,,Level 1 (Good),No,Worsley,Boothstown and Ellenbrook Ward,5m,M27 0WD
GREEN LANE,UNASSIGNED,SGN/322/001/0007-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Eccles Ward,,M27 6NB
BRIGHT ROAD,ROAD SIDE OF OPPOSITE 44 LIVERPOOL ST,COL/069/033/0008,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,Level 1 (Good),Yes,Eccles,Eccles Ward,6m,M30 0SZ
HUDDART CLOSE,FOOTPATH BACK OF FOOTPATH 1,COL/047/011/0001,Lighting Column 5m,Cast Iron,SL - Column,Metcraft,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M30 9QG
HEATH AVENUE,ROAD SIDE OF 65 LOWER BROUGHTON ROAD,COL/042/007/0001,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,56 watts,Dimmed to 73%,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M27 0DU
HEATH AVENUE,ROAD AT OR OUTSIDE 3,COL/042/007/0003,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,56 watts,Dimmed to 73%,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M27 0DU
