Unit Type,Unit No.,Address 1,Address 2,Easting,Northing,MH - MOUNTING HEIGHT,CT - COLUMN TYPE,LT - LAMP TYPE,LW - LAMP WATTS
LIGHTING COLUMN,2,ALBANY WAY,MOTTRAM,398370,394981,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,ALBEMARLE TERRACE,ASHTON-UNDER-LYNE,394006,399392,4 Metre,REPLICA CAST IRON,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,ALBEMARLE TERRACE,ASHTON-UNDER-LYNE,394032,399387,4 Metre,REPLICA CAST IRON,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,ALBERMARLE STREET,ASHTON-UNDER-LYNE,394130,399375,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,ALBERMARLE STREET,ASHTON-UNDER-LYNE,394172,399358,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,ALBERMARLE STREET,ASHTON-UNDER-LYNE,394203,399359,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,ALBERMARLE STREET,ASHTON-UNDER-LYNE,394262,399328,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,5,ALBERMARLE STREET,ASHTON-UNDER-LYNE,394314,399311,6 Metre,MILD STEEL,L.P.SODIUM,35 WATTS
LIGHTING COLUMN,1,ALBERT AVENUE,DUKINFIELD,394262,396713,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,ALBERT AVENUE,DUKINFIELD,394269,396685,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,ALBERT ROAD,HYDE,394586,394594,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,ALBERT ROAD,HYDE,394588,394561,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,ALBERT ROAD,HYDE,394582,394537,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,ALBERT ROAD,HYDE,394600,394509,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
